,Series Code,Time,Time Code,World,Guinea,Liberia,United States,Sierra Leone
GDP (current US$),NY.GDP.MKTP.CD,1960,YR1960,1.37041E+12,0,0,5.433E+11,322009471.6
GDP (current US$),NY.GDP.MKTP.CD,1961,YR1961,1.42564E+12,0,0,5.633E+11,327834680.6
GDP (current US$),NY.GDP.MKTP.CD,1962,YR1962,1.5299E+12,0,0,6.051E+11,342721579.8
GDP (current US$),NY.GDP.MKTP.CD,1963,YR1963,1.64812E+12,0,0,6.386E+11,348546952.1
GDP (current US$),NY.GDP.MKTP.CD,1964,YR1964,1.80548E+12,0,0,6.858E+11,371848114.7
GDP (current US$),NY.GDP.MKTP.CD,1965,YR1965,1.96611E+12,0,0,7.437E+11,359379856.2
GDP (current US$),NY.GDP.MKTP.CD,1966,YR1966,2.13311E+12,0,0,8.15E+11,375479849.8
GDP (current US$),NY.GDP.MKTP.CD,1967,YR1967,2.27075E+12,0,0,8.617E+11,348795303
GDP (current US$),NY.GDP.MKTP.CD,1968,YR1968,2.45136E+12,0,0,9.425E+11,329860091.9
GDP (current US$),NY.GDP.MKTP.CD,1969,YR1969,2.70445E+12,0,0,1.0199E+12,408690163.5
GDP (current US$),NY.GDP.MKTP.CD,1970,YR1970,2.96037E+12,0,0,1.0733E+12,434410373.8
GDP (current US$),NY.GDP.MKTP.CD,1971,YR1971,3.27268E+12,0,0,1.16485E+12,419549425.1
GDP (current US$),NY.GDP.MKTP.CD,1972,YR1972,3.77678E+12,0,0,1.27911E+12,465381090
GDP (current US$),NY.GDP.MKTP.CD,1973,YR1973,4.60823E+12,0,0,1.42538E+12,575230234.4
GDP (current US$),NY.GDP.MKTP.CD,1974,YR1974,5.31479E+12,0,0,1.54524E+12,648590642.9
GDP (current US$),NY.GDP.MKTP.CD,1975,YR1975,5.91919E+12,0,0,1.6849E+12,679335901.1
GDP (current US$),NY.GDP.MKTP.CD,1976,YR1976,6.43698E+12,0,0,1.87341E+12,594895672.3
GDP (current US$),NY.GDP.MKTP.CD,1977,YR1977,7.27604E+12,0,0,2.08183E+12,691777758.4
GDP (current US$),NY.GDP.MKTP.CD,1978,YR1978,8.58289E+12,0,0,2.3516E+12,960728338.9
GDP (current US$),NY.GDP.MKTP.CD,1979,YR1979,9.9692E+12,0,0,2.62733E+12,1109374722
GDP (current US$),NY.GDP.MKTP.CD,1980,YR1980,1.1224E+13,0,0,2.85731E+12,1100685845
GDP (current US$),NY.GDP.MKTP.CD,1981,YR1981,1.16202E+13,0,0,3.20704E+12,1114830472
GDP (current US$),NY.GDP.MKTP.CD,1982,YR1982,1.15108E+13,0,0,3.34379E+12,1295361886
GDP (current US$),NY.GDP.MKTP.CD,1983,YR1983,1.17434E+13,0,0,3.63404E+12,995104305.3
GDP (current US$),NY.GDP.MKTP.CD,1984,YR1984,1.21762E+13,0,0,4.03761E+12,1087471862
GDP (current US$),NY.GDP.MKTP.CD,1985,YR1985,1.27895E+13,0,0,4.33898E+12,856890498.6
GDP (current US$),NY.GDP.MKTP.CD,1986,YR1986,1.51138E+13,1922600899,0,4.57963E+12,490181456.6
GDP (current US$),NY.GDP.MKTP.CD,1987,YR1987,1.71958E+13,2041538057,0,4.85522E+12,701307602.3
GDP (current US$),NY.GDP.MKTP.CD,1988,YR1988,1.92377E+13,2384295764,0,5.23644E+12,1055083945
GDP (current US$),NY.GDP.MKTP.CD,1989,YR1989,2.00801E+13,2432029380,0,5.64158E+12,932974411.9
GDP (current US$),NY.GDP.MKTP.CD,1990,YR1990,2.26171E+13,2666616177,0,5.96314E+12,649644826.8
